Dataset,Year,Modality,Image Source,Primary Imaged Regions,Secondary Imaged Regions,3D Bone Shapes,3D Format,N subjects,Subjects Metadata,Accessibility,Redistribution Permission,License
63,2023,CT,Original,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,3147,Age; Gender; Clinical Condition,Open,Not Allowed,Other; Subject to Competition Rules
64,2024,CT,Adopted,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,680,Age; Gender,Open,Allowed,CC BY 4.0
65,2013,CT,Original,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,825,Age; Gender,Open,Allowed,CC BY 3.0
66,2019,CT; CBCT,Original,Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,58,Gender,Open,Allowed,CC BY 3.0
67,2023,CT,Original,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,215,,Open,Allowed,CC BY 4.0
68,2023,CT; MRI; CBCT,Original,Neurocranium; Pelvis; Hip,Neurocranium; Viscerocranium; Cervical Spine; Pelvis; Lumbar Spine; Hip; Upper Leg,,,480,,Open,Allowed,CC BY-NC 4.0
69,2025,CT,Adopted,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,585,,Open,Allowed,CC BY 4.0
70,2017,CT,Original,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,201,,Open,Allowed,CC BY-NC-SA 4.0
71,2021,CT,Mixed,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,1062,,Open,Allowed,CC BY 4.0
72,2024,CT,Adopted,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,160167,,Open,Mixed,"mixed, depends on the source datasets"
73,2015,CT,Original,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,100,,Open,Unknown,N/A
74,2020,CT,Original,Thoracic Cage; Thoracic Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder; Upper Arm,,,60,,Open,Not Allowed,Other
75,2023,CT; MRI,Original,Neurocranium; Viscerocranium; Cervical Spine,Neurocranium; Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Shoulder; Upper Arm,,,42,,Open,Not Allowed,CC BY-NC-ND 4.0
76,2020,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder; Upper Arm,,,422,Age; Gender; Clinical Condition,Open,Allowed,CC BY-NC 3.0
77,2013,CT,Original,Cervical Spine; Thoracic Spine; Lumbar Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis,,,125,Age; Gender,Open,Not Allowed,CC BY-NC-ND 4.0
78,2019,CT,Original,Thoracic Cage; Thoracic Spine; Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,,,200,,Open,Unknown,N/A
79,2007,CT,Original,Abdomen,Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,30,,Open,Not Allowed,Other
80,2022,CT,Original,Thoracic Cage; Thoracic Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,200,,Restricted,Not Allowed,Other
81,2023,MRI,Adopted,Abdomen; Lumbar Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis,,,17,Age; Gender; Weight; Height,Open,Allowed,CC BY 4.0
82,2019,CT,Original,Abdomen; Lumbar Spine,Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,,,6,Age; Gender; Weight; Height,Open,Unknown,N/A
83,2020,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,1013,Age; Gender,Open,Allowed,CC0 1.0
84,2020,CT,Adopted,Thoracic Cage,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,20,Age; Gender,Open,Allowed,CC BY-NC-SA 2.0
85,2017,CT; MRI,Original,Pelvis; Hip,Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,19,Gender,Restricted,Allowed,N/A
86,2024,MRI,Original,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,141,,Open,Allowed,CC0 1.0
87,2020,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,660,,Open,Allowed,CC BY-NC 4.0
88,2022,CT,Original,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,1136,,Open,Allowed,CC BY 4.0
89,2023,CT,Mixed,Thoracic Cage; Thoracic Spine,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Shoulder,,,30,,Open,Allowed,CC BY 4.0
90,2019,CT; MRI,Original,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis,,,80,,Open,Allowed,CC BY-NC-SA 4.0
91,2024,CT,Original,Abdomen,Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,1300,,Restricted,Unknown,N/A
92,2021,CT,Original,Thoracic Cage,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine,,,305,Age; Gender; Weight; Clinical Condition,Open,Allowed,CC0 1.0
