Dataset Name,Access Link,Related Paper,Country,Year,Size,Remarks,Medical Images Included,Imaging Modality,Image Source,Image Source Details,Primary Imaged Regions,Secondary Imaged Regions,Available 3D Bone Shapes,Additional Structures,Landmarks,Voxel Segmentation Mask,Mesh Model,CAD Model,Number of Subjects,Available Information per Subject,Subjects Vital Status,Subjects Clinical Condition,Access Policy,Data Redistribution Policy,Research Use Policy,Commercial Use Policy,License
,,,USA,2025,6.6,,Yes,CT,Original; Adopted,,Abdomen,Thoracic Cage; Thoracic Spine; Lumbar Spine; Pelvis; Abdomen; Shoulder; Hip; Upper Leg,,,,,,,30,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA; Germany,2023,48.6,,Yes,CT,Original,,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,489,Age; Gender; BMI; Clinical Condition; Alcohol Use; Smoking History; and more comprehensive medical history,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC-SA 4.0
,,,USA,2020,56.38,,Yes,CT; MRI,Original,,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,97,Age; Gender; Weight; Height,,,Open Access,Allowed,Allowed,Allowed,CC BY 3.0
,,,China,2024,2.46,,Yes,MRI,Original,,Cervical Spine; Thoracic Spine; Lumbar Spine,Viscerocranium; Cervical Spine; Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis,,,,,,,14,Age; Gender; Weight; Height,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2023,460.34,,Yes,CT,Original,,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,3147,Age; Gender; Clinical Condition,,,Open Access,Restricted,,,Other; Subject to Competition Rules
,,,Spain,2024,24.7,,Yes,CT,Adopted,,Abdomen,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,680,Age; Gender,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,USA,2013,496.67,,Yes,CT,Original,,Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,825,Age; Gender,,,Open Access,Allowed,Allowed,Allowed,CC BY 3.0
,,,USA,2019,7.19,,Yes,CT; CBCT,Original,,Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,58,Gender,,,Open Access,Allowed,Allowed,Allowed,CC BY 3.0
,,,Netherlands,2023,38.4,,Yes,CT,Original,,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip,Thoracic Cage; Thoracic Spine; Abdomen; Lumbar Spine; Pelvis; Hip; Upper Leg,,,,,,,215,,,,Open Access,Allowed,Allowed,Allowed,CC BY 4.0
,,,Netherlands,2023,27.9,,Yes,CT; MRI; CBCT,Original,,Neurocranium; Pelvis; Hip,Neurocranium; Viscerocranium; Cervical Spine; Pelvis; Lumbar Spine; Hip; Upper Leg,,,,,,,480,,,,Open Access,Allowed,Allowed,Restricted,CC BY-NC 4.0
